SiteID,ddlongX,ddlatY,DBSWInd,FieldMarginLength,CropCompositionalHeterogeneity,CropArea100,CropArea500,FieldMarginType,
102,108.14335,22.57152,0.304636097,2324.02,0.439889378,41.11008564,91.51458333,BP,
102,108.14482,22.57133,0.636514168,2324.02,0.439889378,41.11008564,91.51458333,CP,"CP = MINOR-MINOR, both sides of the FM had minor crops"
102,108.14449,22.57204,0.693147181,2324.02,0.439889378,41.11008564,91.51458333,WE,"WE = WEED, both sides of the FM had weedy-herbaceous vegetation"
107,108.1596317,22.57418728,0.793807481,1264.12,1.14651724,76.38547094,82.10208333,BP,"BP = CANE-CANE, both sides of the FM had sugarcane/corn"
107,108.1592358,22.5752698,1.205697772,1264.12,1.14651724,76.38547094,82.10208333,BM,"BM = CANE-MINOR, one side of the FM had sugarcane and other side had a minor crop"
107,108.1599764,22.57449463,0.661563238,1264.12,1.14651724,76.38547094,82.10208333,CP,
112,108.1751,22.58697,0.410116318,2557.89,0.910283173,86.07862487,81.28645833,BP,
112,108.17601,22.58783,1.026330633,2557.89,0.910283173,86.07862487,81.28645833,BM,
112,108.17473,22.58802,0.810150232,2557.89,0.910283173,86.07862487,81.28645833,CP,
110,108.20158,22.59218,0.636514168,1503.39,0.991397973,92.65824631,67.15729167,BP,
110,108.20044,22.59242,0.994923633,1503.39,0.991397973,92.65824631,67.15729167,BM,
110,108.20097,22.59347,0.692552532,1503.39,0.991397973,92.65824631,67.15729167,CP,
106,108.2386886,22.58434167,0.831008843,1352.98,1.103967386,94.10513656,58.91666667,BP,
106,108.2394081,22.58349862,1.131455718,1352.98,1.103967386,94.10513656,58.91666667,BM,
106,108.2380494,22.58372178,0.994923633,1352.98,1.103967386,94.10513656,58.91666667,CP,
104,108.2443322,22.61590805,0.578532844,1181.96,0.670346673,76.42324193,72.88645833,BP,
104,108.2434668,22.61512747,1.024601952,1181.96,0.670346673,76.42324193,72.88645833,BM,
104,108.2430346,22.61630028,0.721463687,1181.96,0.670346673,76.42324193,72.88645833,CP,
125,108.22773,22.63479,1.036627969,3013.19,0.99380677,57.17853658,78.42083333,BM,
125,108.22674,22.63478,0.286835983,3013.19,0.99380677,57.17853658,78.42083333,CP,
125,108.22709,22.63573,1.332244922,3013.19,0.99380677,57.17853658,78.42083333,WE,
103,108.25443,22.62975,0.613839411,1051.16,0.720231722,62.96002025,75.17395833,BM,
103,108.25336,22.63033,0.573056917,1051.16,0.720231722,62.96002025,75.17395833,BP,
103,108.25395,22.63077,0.887722672,1051.16,0.720231722,62.96002025,75.17395833,CP,
111,108.24819,22.64905,0.429323022,1641.46,1.375766614,92.43740047,35.80625,BP,
111,108.24725,22.64997,1.157373298,1641.46,1.375766614,92.43740047,35.80625,BM,
111,108.24829,22.6499,0.950748927,1641.46,1.375766614,92.43740047,35.80625,CP,
124,108.23667,22.64381,0.636514168,2971.69,1.29653363,51.81864905,40.76041667,BM,
124,108.23693,22.64284,0.244930027,2971.69,1.29653363,51.81864905,40.76041667,CP,
124,108.23577,22.64376,1.239659392,2971.69,1.29653363,51.81864905,40.76041667,WE,
142,108.15135,22.6006,0.984086503,2917.84,1.422037127,82.65879865,76.375,BP,
142,108.15164,22.59943,1.282849015,2917.84,1.422037127,82.65879865,76.375,BM,
142,108.15222,22.60026,1.379342674,2917.84,1.422037127,82.65879865,76.375,WE,
182,108.14534,22.59123,0.79631164,1884.17,0.88674598,91.09553669,87.915625,BP,
182,108.14443,22.59185,1.12565946,1884.17,0.88674598,91.09553669,87.915625,BM,
182,108.14515,22.59202,1.039720771,1884.17,0.88674598,91.09553669,87.915625,CP,
127,108.17192,22.63246,0.304636097,1627.45,1.539366912,65.59711829,69.865625,BP,
127,108.17275,22.63166,1.029653014,1627.45,1.539366912,65.59711829,69.865625,BM,
127,108.1729,22.63234,0.687092027,1627.45,1.539366912,65.59711829,69.865625,CP,
